ticker,industry,market_cap,revenue_cagr,net_profit_margin_avg
20MICRONS.NS,Other Industrial Metals & Mining,7786672128.0,0.1709569754485165,0.05900693974299791
21STCENMGM.NS,Capital Markets,726704960.0,,1.101828112030609
360ONE.NS,Asset Management,389293506560.0,0.2080874415970475,0.39303067720546186
3IINFOLTD.NS,Information Technology Services,4169431808.0,0.10172038592282817,0.048295572211047466
3MINDIA.NS,Conglomerates,330423173120.0,0.1716561395406111,0.09931775318439369
3PLAND.NS,None,,0.26984839719291376,0.5066929332892935
5PAISA.NS,Capital Markets,12106027008.0,0.01994692550836774,0.1889717452416918
63MOONS.NS,Software - Application,34234021888.0,0.43876118388819174,-0.07926249524016635
A2ZINFRA.NS,Engineering & Construction,2472717568.0,-0.02102133644415738,-0.2679329038093789
AAATECH.NS,Information Technology Services,1056799488.0,0.20908535972260478,0.1399924511913302
AADHARHFC.NS,Mortgage Finance,198674104320.0,0.21881302881498765,0.29620723124568954
AAKASH.NS,Oil & Gas Equipment & Services,862650048.0,0.1555603643338377,0.06626984807811856
AAREYDRUGS.NS,Drug Manufacturers - Specialty & Generic,1533968640.0,0.04333406387472105,0.013261826704794047
AARON.NS,Specialty Industrial Machinery,3615356416.0,0.36549440858020876,0.0932529699073575
AARTECH.NS,Electrical Equipment & Parts,1951076736.0,0.4403236391353269,0.07512150913838857
AARTIDRUGS.NS,Drug Manufacturers - Specialty & Generic,42207813632.0,-0.013800156536487251,0.07052477183934501
AARTIIND.NS,Specialty Chemicals,169170223104.0,0.11885997997034647,0.10580061073806257
AARTIPHARM.NS,Drug Manufacturers - Specialty & Generic,73500131328.0,0.21063267327284008,0.1120931784072102
AARTISURF.NS,Specialty Chemicals,4772285952.0,0.08124770235652368,0.028505700246290844
AARVEEDEN.NS,Textile Manufacturing,3366481408.0,-0.314919989356755,-0.2997964294689383
AARVI.NS,Staffing & Employment Services,1568577408.0,0.2594160338511653,0.03924078248504084
AAVAS.NS,Mortgage Finance,144297181184.0,0.2414462349311104,0.2940687232457202
ABAN.NS,Oil & Gas Drilling,2339281408.0,-0.2797068152364487,-2.8824163788961368
ABB.NS,Specialty Industrial Machinery,1194101571584.0,0.20759512626116772,0.11748611533084906
ABBOTINDIA.NS,Drug Manufacturers - Specialty & Generic,645106761728.0,0.1072294162319507,0.17650110527250237
ABCAPITAL.NS,Financial Conglomerates,569350029312.0,0.17231770437607086,0.08985578122363949
ABFRL.NS,Apparel Manufacturing,336986701824.0,0.38770214977198814,-0.04761001060851136
ABINFRA.NS,Engineering & Construction,6738585088.0,0.4382407848565266,0.025180046059416185
ABMINTLLTD.NS,Specialty Chemicals,473692800.0,-0.10038869168124953,-0.006283642520561709
ABREL.NS,Paper & Paper Products,224356302848.0,0.18424651985286644,0.028260777690547356
ABSLAMC.NS,Asset Management,196926685184.0,0.09224279989747464,0.533893624134186
ACCELYA.NS,Information Technology Services,20787857408.0,0.20743608407701775,0.20143557787221317
ACCURACY.NS,Integrated Freight & Logistics,1196951936.0,,
ACE.NS,Farm & Heavy Construction Machinery,146020024320.0,0.33437659031936073,0.0804887659323367
ACEINTEG.NS,Staffing & Employment Services,252348000.0,0.11237901139465079,0.061760806658492415
ACI.NS,Chemicals,75006705664.0,-0.0268498590763796,0.20698480089158508
ACL.NS,Building Materials,5273165312.0,,
ACLGATI.NS,Integrated Freight & Logistics,9438439424.0,0.08862911019973607,-0.041161269181838385
ADANIENSOL.NS,Utilities - Independent Power Producers,1085600169984.0,0.29435193842609575,0.079786431151951
ADANIENT.NS,Thermal Coal,2841475547136.0,0.1220174590423313,0.034168633148484034
