YF_Ticker,Years
20MICRONS.NS,"[2021, 2022, 2023, 2024]"
21STCENMGM.NS,"[2021, 2022, 2023, 2024]"
360ONE.NS,"[2021, 2022, 2023, 2024, 2025]"
3IINFOLTD.NS,"[2021, 2022, 2023, 2024]"
3MINDIA.NS,"[2021, 2022, 2023, 2024]"
3PLAND.NS,"[2021, 2022, 2023, 2024]"
5PAISA.NS,"[2021, 2022, 2023, 2024, 2025]"
63MOONS.NS,"[2021, 2022, 2023, 2024]"
A2ZINFRA.NS,"[2021, 2022, 2023, 2024]"
AAATECH.NS,"[2021, 2022, 2023, 2024]"
AADHARHFC.NS,"[2021, 2022, 2023, 2024, 2025]"
AAKASH.NS,"[2021, 2022, 2023, 2024]"
AAREYDRUGS.NS,"[2021, 2022, 2023, 2024]"
AARON.NS,"[2021, 2022, 2023, 2024]"
AARTECH.NS,"[2021, 2022, 2023, 2024]"
AARTIDRUGS.NS,"[2021, 2022, 2023, 2024, 2025]"
AARTIIND.NS,"[2021, 2022, 2023, 2024, 2025]"
AARTIPHARM.NS,"[2021, 2022, 2023, 2024]"
AARTISURF.NS,"[2021, 2022, 2023, 2024]"
AARVEEDEN.NS,"[2021, 2022, 2023, 2024]"
AARVI.NS,"[2021, 2022, 2023, 2024]"
AAVAS.NS,"[2021, 2022, 2023, 2024, 2025]"
ABAN.NS,"[2021, 2022, 2023, 2024]"
ABB.NS,"[2020, 2021, 2022, 2023, 2024]"
ABBOTINDIA.NS,"[2021, 2022, 2023, 2024]"
ABCAPITAL.NS,"[2021, 2022, 2023, 2024]"
ABFRL.NS,"[2021, 2022, 2023, 2024]"
ABINFRA.NS,"[2021, 2022, 2023, 2024]"
ABMINTLLTD.NS,"[2021, 2022, 2023, 2024]"
ABREL.NS,"[2021, 2022, 2023, 2024]"
ABSLAMC.NS,"[2021, 2022, 2023, 2024, 2025]"
ACCELYA.NS,"[2021, 2022, 2023, 2024]"
ACCURACY.NS,"[2021, 2022, 2023, 2024]"
ACE.NS,"[2021, 2022, 2023, 2024]"
ACEINTEG.NS,"[2021, 2022, 2023, 2024]"
ACI.NS,"[2021, 2022, 2023, 2024, 2025]"
ACL.NS,"[2021, 2022, 2023, 2024]"
ACLGATI.NS,"[2021, 2022, 2023, 2024]"
ADANIENSOL.NS,"[2021, 2022, 2023, 2024, 2025]"
